GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,20,IT,In full-time Education,In or completed higher education,"83,5","75,25","58,25","72,33","83,5",67,"49,75",89,"91,75",50,"71,09","66,75","58,25",50,"16,5","47,88","58,25","86,8",78,"75,25","76,06","75,25","83,25","55,67",67,"69,38"
Male,20,IT,In full-time Education,In or completed secondary education,"75,25",75,"83,25","77,83","91,75","83,5","66,75","44,33","83,5",75,"75,43","66,75","33,25","66,5",25,"47,88","58,25","66,8","44,33","66,75","61,11","66,5","83,5","22,33","58,25",59
Female,34,IT,Self-employed,In or completed higher education,"66,75",100,"91,75","86,17",100,100,75,100,100,"91,75","94,22",100,"58,25","91,75","24,75","68,69",75,100,100,"91,75","90,78","66,75","91,75","55,67","91,75",77
Female,20,IT,In full-time Education,In or completed secondary education,"41,5","58,5","58,5","52,83","50,25","58,5","75,25","33,33",67,"41,75","55,26",67,"24,75","41,5","41,75","43,75","33,25","60,2","44,67","41,5","46,33","41,75","58,5","33,33",67,"51,46"
Female,20,IT,In Employment,In or completed higher education,"58,25","75,25",50,"61,17","75,25","58,25",50,33,67,"41,75","55,13","58,5","33,5","16,5","8,25","29,19",33,"46,8","55,33","58,25","49,94",67,"58,5","55,67",67,"61,77"
Male,19,IT,In full-time Education,In or completed higher education,"66,75","83,5","83,5","77,92","75,25","66,75","58,25",78,"75,25","58,5","68,26",67,67,50,"41,5","56,38",67,"73,6",67,"83,5","72,5",67,"75,25",67,67,"69,54"
Male,22,IT,In full-time Education,In or completed higher education,50,67,"41,75","52,92","75,25",50,50,33,67,"41,75","53,7",50,25,"33,25","8,25","29,13","33,25","53,4","33,33","33,25","42,61","58,5","58,5","33,33","41,75","46,23"
Male,22,IT,In full-time Education,In or completed higher education,50,67,67,"61,33",67,"58,5","58,5",67,67,50,"61,09","41,5","58,5",50,67,"54,25","58,5",67,"55,67","58,5","61,33",67,67,"55,67","58,5","61,77"
Male,20,IT,In Employment,In or completed higher education,"91,75",75,100,"88,92","91,75","75,25",75,89,"58,5","58,5","74,04","83,5",67,"58,5","58,5","66,88","58,5","60,2","55,67","58,25","59,39","58,5",67,"55,67",67,"61,77"
Male,20,IT,In full-time Education,In or completed vet education,"66,75","91,75",100,"86,17",75,"58,5","66,75","44,33","83,5","58,25","65,26","58,25",33,"24,75","8,25","31,06","58,5","73,4","33,33","83,5","66,78","91,75","75,25","33,33","41,5",59
